01/26/2024,ayham,2,01:15
01/26/2024,ameer,-1,00:00
01/27/2024,ahmad,1,01:13
01/27/2024,ameer,-1,00:00
01/27/2024,ayham,-1,00:00
01/28/2024,ayham,1,00:21
01/28/2024,ahmad,2,00:45
01/28/2024,ameer,-1,00:00
01/29/2024,ahmad,1,00:40
01/29/2024,ameer,-1,00:00
01/29/2024,ayham,-1,00:00
01/30/2024,ahmad,1,00:31
01/30/2024,ayham,2,00:32
01/30/2024,ameer,-1,00:00
01/31/2024,ahmad,1,00:32
01/31/2024,ameer,-1,00:00
01/31/2024,ayham,-1,00:00
02/01/2024,ayham,1,01:09
02/01/2024,ahmad,-1,00:00
02/01/2024,ameer,-1,00:00
02/02/2024,ahmad,-1,00:00
02/02/2024,ameer,-1,00:00
02/02/2024,ayham,-1,00:00
02/03/2024,ayham,1,00:42
02/03/2024,ahmad,2,00:54
02/03/2024,ameer,3,01:18
02/04/2024,ameer,1,00:41
02/04/2024,ahmad,2,01:03
02/04/2024,ayham,3,03:47
02/05/2024,ahmad,1,00:32
02/05/2024,ameer,2,01:25
02/05/2024,ayham,-1,00:00
02/06/2024,ahmad,1,00:24
02/06/2024,ameer,2,00:31
02/06/2024,ayham,-1,00:00
02/07/2024,ahmad,1,00:26
02/07/2024,ameer,-1,00:00
02/07/2024,ayham,-1,00:00
02/08/2024,ahmad,1,00:34
02/08/2024,ameer,2,00:43
02/08/2024,ayham,3,00:48
02/09/2024,ameer,1,00:17
02/09/2024,ayham,2,00:24
02/09/2024,ahmad,3,00:35
02/10/2024,ahmad,1,00:37
02/10/2024,ameer,-1,00:00
02/10/2024,ayham,-1,00:00
02/11/2024,ahmad,1,00:32
02/11/2024,ameer,-1,00:00
02/11/2024,ayham,-1,00:00
02/12/2024,ahmad,1,00:32
02/12/2024,ameer,2,01:26
02/12/2024,ayham,3,01:26
02/13/2024,ameer,1,00:15
02/13/2024,ahmad,2,00:22
02/13/2024,ayham,3,00:57
02/14/2024,ahmad,1,00:29
02/14/2024,ayham,2,01:02
02/14/2024,ameer,-1,00:00
02/15/2024,ahmad,1,00:29
02/15/2024,ameer,-1,00:00
02/15/2024,ayham,-1,00:00
02/16/2024,ahmad,1,00:36
02/16/2024,ayham,2,01:31
02/16/2024,ameer,-1,00:00
02/17/2024,ahmad,1,01:40
02/17/2024,ameer,-1,00:00
02/17/2024,ayham,-1,00:00
02/18/2024,ayham,1,00:14
02/18/2024,ameer,2,00:37
02/18/2024,ahmad,3,01:03
02/19/2024,ameer,1,00:28
02/19/2024,ahmad,-1,00:00
02/19/2024,ayham,-1,00:00
02/20/2024,ahmad,1,00:15
02/20/2024,ameer,2,01:18
02/20/2024,ayham,-1,00:00
02/21/2024,ayham,1,00:43
02/21/2024,ameer,2,00:55
02/21/2024,ahmad,3,01:07
02/22/2024,ahmad,1,00:21
02/22/2024,ayham,2,00:31
02/22/2024,ameer,3,00:44
02/23/2024,ahmad,1,00:49
02/23/2024,ayham,2,01:07
02/23/2024,ameer,-1,00:00
02/24/2024,ameer,1,01:27
02/24/2024,ahmad,2,01:30
02/24/2024,ayham,-1,00:00
02/25/2024,ameer,1,01:11
02/25/2024,ahmad,-1,00:00
02/25/2024,ayham,-1,00:00
02/26/2024,ahmad,1,00:15
02/26/2024,ayham,2,00:37
02/26/2024,ameer,3,01:18
02/27/2024,ahmad,1,00:39
02/27/2024,ameer,-1,00:00
02/27/2024,ayham,-1,00:00
02/28/2024,ahmad,1,00:38
02/28/2024,ameer,2,00:42
02/28/2024,ayham,-1,00:00
02/29/2024,ameer,1,01:46
02/29/2024,ayham,2,04:52
02/29/2024,ahmad,-1,00:00
03/01/2024,ameer,1,00:42
03/01/2024,ayham,2,00:55
03/01/2024,ahmad,-1,00:00
03/02/2024,ameer,1,00:48
03/02/2024,ahmad,-1,00:00
03/02/2024,ayham,-1,00:00
03/03/2024,ameer,1,02:17
03/03/2024,ayham,2,02:50
03/03/2024,ahmad,-1,00:00
03/04/2024,ahmad,1,00:45
03/04/2024,ayham,2,01:19
03/04/2024,ameer,3,01:47
03/05/2024,ayham,1,00:59
03/05/2024,ahmad,2,01:20
03/05/2024,ameer,3,01:29
03/06/2024,ameer,1,00:34
03/06/2024,ahmad,2,00:44
03/06/2024,ayham,3,00:54
03/07/2024,ameer,1,00:22
03/07/2024,ayham,2,01:14
03/07/2024,ahmad,-1,00:00
03/08/2024,ayham,1,01:04
03/08/2024,ameer,2,01:21
03/08/2024,ahmad,3,02:16
03/09/2024,ahmad,1,00:44
03/09/2024,ameer,2,00:51
03/09/2024,ayham,3,01:23
03/10/2024,ayham,1,00:20
03/10/2024,ameer,2,00:22
03/10/2024,ahmad,3,00:41
03/11/2024,ayham,1,00:53
03/11/2024,ahmad,2,00:56
03/11/2024,ameer,3,02:23
03/12/2024,ahmad,1,00:26
03/12/2024,ameer,2,00:27
03/12/2024,ayham,3,00:28
03/13/2024,ahmad,1,00:15
03/13/2024,ayham,2,00:45
03/13/2024,ameer,3,01:14
03/14/2024,ahmad,1,00:33
03/14/2024,ameer,2,00:38
03/14/2024,ayham,3,00:41
03/15/2024,ayham,1,00:40
03/15/2024,ahmad,2,01:24
03/15/2024,ameer,3,02:14
03/16/2024,ahmad,1,00:44
03/16/2024,ayham,2,01:03
03/16/2024,ameer,3,01:41
03/17/2024,ayham,1,00:44
03/17/2024,ahmad,2,00:51
03/17/2024,ameer,3,01:04
